Date,Open,High,Low,Close,Adj Close,Volume,Previous_week_open,Previous_week_high,Previous_week_low
12-07-2021,1.171585,1.216031,1.152655,1.183698,1.183698,2841507294,,,
19-07-2021,1.181999,1.247973,1.021433,1.228501,1.228501,9893181568,1.171585,1.216031,1.152655
26-07-2021,1.228722,1.399011,1.21536,1.31773,1.31773,13142521090,1.181999,1.247973,1.021433
02-08-2021,1.31577,1.494273,1.263189,1.42783,1.42783,13504226945,1.228722,1.399011,1.21536
09-08-2021,1.426617,2.25036,1.394436,2.169153,2.169153,38607766518,1.31577,1.494273,1.263189
16-08-2021,2.167868,2.718612,1.887675,2.713725,2.713725,41308968435,1.426617,2.25036,1.394436
23-08-2021,2.708616,2.967398,2.473766,2.855986,2.855986,51504035842,2.167868,2.718612,1.887675
30-08-2021,2.850741,3.099186,2.706473,2.910824,2.910824,36515633914,2.708616,2.967398,2.473766
06-09-2021,2.911581,2.92623,2.040953,2.581727,2.581727,53302791565,2.850741,3.099186,2.706473
13-09-2021,2.582778,2.590281,2.265415,2.282299,2.282299,24450147350,2.911581,2.92623,2.040953
20-09-2021,2.283438,2.458108,1.92328,2.208495,2.208495,36627952634,2.582778,2.590281,2.265415
27-09-2021,2.212038,2.320416,2.023027,2.252873,2.252873,20052728046,2.283438,2.458108,1.92328
04-10-2021,2.251848,2.369656,2.116876,2.197214,2.197214,16290931965,2.212038,2.320416,2.023027
11-10-2021,2.191907,2.249355,2.075584,2.156963,2.156963,18994169344,2.251848,2.369656,2.116876
18-10-2021,2.157833,2.29641,2.095114,2.123435,2.123435,19746762175,2.191907,2.249355,2.075584
25-10-2021,2.119801,2.199589,1.83342,1.965026,1.965026,22398856361,2.157833,2.29641,2.095114
01-11-2021,1.964962,2.144626,1.91796,2.021872,2.021872,19163054712,2.119801,2.199589,1.83342
08-11-2021,2.021946,2.375914,1.944602,2.040853,2.040853,26916301454,1.964962,2.144626,1.91796
15-11-2021,2.041248,2.094682,1.710864,1.839763,1.839763,14976749275,2.021946,2.375914,1.944602
22-11-2021,1.838291,1.839811,1.433618,1.592855,1.592855,15210745797,2.041248,2.094682,1.710864
29-11-2021,1.594501,1.756863,1.205124,1.378105,1.378105,18784259739,1.838291,1.839811,1.433618
06-12-2021,1.379189,1.477548,1.195143,1.347282,1.347282,13175634464,1.594501,1.756863,1.205124
13-12-2021,1.347895,1.357773,1.187881,1.244661,1.244661,9626689651,1.379189,1.477548,1.195143
20-12-2021,1.243437,1.490347,1.202716,1.456045,1.456045,9566715976,1.347895,1.357773,1.187881
27-12-2021,1.455838,1.590728,1.287365,1.377584,1.377584,9817608184,1.243437,1.490347,1.202716
03-01-2022,1.377599,1.377599,1.138116,1.17386,1.17386,9285853553,1.455838,1.590728,1.287365
10-01-2022,1.173786,1.420641,1.080153,1.407251,1.407251,11505723779,1.377599,1.377599,1.138116
17-01-2022,1.40821,1.631298,0.933397,1.122371,1.122371,23865262935,1.173786,1.420641,1.080153
24-01-2022,1.122782,1.149648,0.959124,1.037473,1.037473,11828965411,1.40821,1.631298,0.933397
31-01-2022,1.037615,1.172885,1.012046,1.144547,1.144547,7470129633,1.122782,1.149648,0.959124
07-02-2022,1.144356,1.257816,1.034717,1.045819,1.045819,11287355844,1.037615,1.172885,1.012046
14-02-2022,1.045469,1.113366,0.923295,0.932902,0.932902,8576367744,1.144356,1.257816,1.034717
21-02-2022,0.932452,0.986247,0.75281,0.858335,0.858335,13615864040,1.045469,1.113366,0.923295
28-02-2022,0.85787,1.005403,0.823004,0.823752,0.823752,8326942625,0.932452,0.986247,0.75281
07-03-2022,0.823738,0.861431,0.783251,0.790995,0.790995,5938743071,0.85787,1.005403,0.823004
14-03-2022,0.790412,0.914603,0.781908,0.877092,0.877092,6746218197,0.823738,0.861431,0.783251
21-03-2022,0.877201,1.185751,0.865919,1.182148,1.182148,15014000926,0.790412,0.914603,0.781908
28-03-2022,1.182334,1.242865,1.107619,1.185941,1.185941,11124828551,0.877201,1.185751,0.865919
04-04-2022,1.1858,1.240358,1.02137,1.030885,1.030885,8679226023,1.182334,1.242865,1.107619
11-04-2022,1.030671,1.030671,0.915346,0.917466,0.917466,5649648217,1.1858,1.240358,1.02137
18-04-2022,0.917509,0.974735,0.877736,0.88635,0.88635,5243204887,1.030671,1.030671,0.915346
25-04-2022,0.886378,0.901707,0.742359,0.790344,0.790344,6594835426,0.917509,0.974735,0.877736
02-05-2022,0.790279,0.904111,0.729272,0.739563,0.739563,7972096947,0.886378,0.901707,0.742359
09-05-2022,0.739509,0.753233,0.406529,0.5975,0.5975,14384797003,0.790279,0.904111,0.729272
16-05-2022,0.597569,0.608465,0.495611,0.542618,0.542618,5740272117,0.739509,0.753233,0.406529
23-05-2022,0.542484,0.557805,0.447367,0.481126,0.481126,4745242201,0.597569,0.608465,0.495611
30-05-2022,0.481134,0.682313,0.478083,0.56709,0.56709,9064011499,0.542484,0.557805,0.447367
06-06-2022,0.567207,0.666099,0.496861,0.496861,0.496861,9548252205,0.481134,0.682313,0.478083
13-06-2022,0.4961,0.544017,0.423419,0.484364,0.484364,11491286181,0.567207,0.666099,0.496861
20-06-2022,0.484403,0.524037,0.457943,0.489653,0.489653,6083897475,0.4961,0.544017,0.423419
27-06-2022,0.489558,0.507615,0.436185,0.455587,0.455587,4839007272,0.484403,0.524037,0.457943
04-07-2022,0.455612,0.490917,0.445301,0.46322,0.46322,4923358018,0.489558,0.507615,0.436185
11-07-2022,0.463181,0.463181,0.406437,0.45723,0.45723,4676862576,0.455612,0.490917,0.445301
17-07-2022,0.458019,0.464971,0.447386,0.450798,0.450798,745790976,0.463181,0.463181,0.406437
