Date,Open,High,Low,Close,Adj Close,Volume,Previous_week_open,Previous_week_high,Previous_week_low
14-03-2022,1.000397,39.398857,1.000394,9.603505,9.603505,16186503758,,,
21-03-2022,9.604387,14.449736,9.593103,14.276739,14.276739,12758635072,1.000397,39.398857,1.000394
28-03-2022,14.272323,15.492145,11.970219,12.446993,12.446993,5848668755,9.604387,14.449736,9.593103
04-04-2022,12.431074,12.777606,10.567146,12.158826,12.158826,3336763285,14.272323,15.492145,11.970219
11-04-2022,12.14971,13.464239,10.692602,11.736778,11.736778,3637827828,12.431074,12.777606,10.567146
18-04-2022,11.737742,18.217287,10.997159,16.818827,16.818827,10101212726,12.14971,13.464239,10.692602
25-04-2022,16.81995,26.91391,15.691833,15.97116,15.97116,24423460930,11.737742,18.217287,10.997159
02-05-2022,15.968777,17.55027,11.104078,11.206094,11.206094,10555124667,16.81995,26.91391,15.691833
09-05-2022,11.208441,11.578635,5.248232,9.092935,9.092935,10638591966,15.968777,17.55027,11.104078
16-05-2022,9.090923,9.209086,7.470881,8.041804,8.041804,4054734881,11.208441,11.578635,5.248232
23-05-2022,8.03825,8.47336,5.837894,6.236197,6.236197,3091017076,9.090923,9.209086,7.470881
30-05-2022,6.236318,7.436798,5.990419,6.098912,6.098912,2487564307,8.03825,8.47336,5.837894
06-06-2022,6.10009,6.432486,3.910886,3.910886,3.910886,1744241380,6.236318,7.436798,5.990419
13-06-2022,3.907361,4.480147,3.086123,4.146917,4.146917,2891472619,6.10009,6.432486,3.910886
20-06-2022,4.142591,5.25903,3.870129,4.702744,4.702744,2662553857,3.907361,4.480147,3.086123
27-06-2022,4.702877,5.532866,4.229153,4.565363,4.565363,2045373114,4.142591,5.25903,3.870129
04-07-2022,4.565889,5.276921,4.419391,4.789759,4.789759,1676094033,4.702877,5.532866,4.229153
11-07-2022,4.789317,4.871497,4.201759,4.763715,4.763715,1863566156,4.565889,5.276921,4.419391
17-07-2022,4.772029,5.12367,4.652607,5.049982,5.049982,437088224,4.789317,4.871497,4.201759
