Date,Open,High,Low,Close,Adj Close,Volume,Previous_week_open,Previous_week_high,Previous_week_low
12-07-2021,31397.30859,32398.99609,31215.49219,31796.81055,31796.81055,37683005609,,,
19-07-2021,31800.01172,35364.92578,29360.95508,35350.1875,35350.1875,1.56E+11,31397.30859,32398.99609,31215.49219
26-07-2021,35384.03125,42541.67969,35287.3125,39974.89453,39974.89453,2.38E+11,31800.01172,35364.92578,29360.95508
02-08-2021,39907.26172,45282.35156,37458.00391,43798.11719,43798.11719,2.27E+11,35384.03125,42541.67969,35287.3125
09-08-2021,43791.92578,48098.68359,42848.6875,47047.00391,47047.00391,2.34E+11,39907.26172,45282.35156,37458.00391
16-08-2021,47019.96094,49717.01953,43998.31641,49321.65234,49321.65234,2.36E+11,43791.92578,48098.68359,42848.6875
23-08-2021,49291.67578,50482.07813,46394.28125,48829.83203,48829.83203,2.24E+11,47019.96094,49717.01953,43998.31641
30-08-2021,48834.85156,51868.67969,46562.4375,51753.41016,51753.41016,2.56E+11,49291.67578,50482.07813,46394.28125
06-09-2021,51769.00391,52853.76563,43285.20703,46063.26953,46063.26953,2.93E+11,48834.85156,51868.67969,46562.4375
13-09-2021,46057.21484,48791.78125,43591.32031,47260.21875,47260.21875,2.26E+11,51769.00391,52853.76563,43285.20703
20-09-2021,47261.40625,47328.19922,39787.60938,43208.53906,43208.53906,2.70E+11,46057.21484,48791.78125,43591.32031
27-09-2021,43234.18359,49130.69141,40829.66797,48199.95313,48199.95313,2.23E+11,47261.40625,47328.19922,39787.60938
04-10-2021,48208.90625,56401.30469,47045.00391,54771.57813,54771.57813,2.62E+11,43234.18359,49130.69141,40829.66797
11-10-2021,54734.125,62757.12891,54370.97266,61553.61719,61553.61719,2.77E+11,48208.90625,56401.30469,47045.00391
18-10-2021,61548.80469,66930.39063,59643.34375,60930.83594,60930.83594,2.58E+11,54734.125,62757.12891,54370.97266
25-10-2021,60893.92578,63729.32422,58206.91797,61318.95703,61318.95703,2.56E+11,61548.80469,66930.39063,59643.34375
01-11-2021,61320.44922,64242.79297,59695.18359,63326.98828,63326.98828,2.27E+11,60893.92578,63729.32422,58206.91797
08-11-2021,63344.06641,68789.625,62333.91406,65466.83984,65466.83984,2.60E+11,61320.44922,64242.79297,59695.18359
15-11-2021,65521.28906,66281.57031,55705.17969,58730.47656,58730.47656,2.53E+11,63344.06641,68789.625,62333.91406
22-11-2021,58706.84766,59367.96875,53569.76563,57248.45703,57248.45703,2.44E+11,65521.28906,66281.57031,55705.17969
29-11-2021,57291.90625,59113.40234,42874.61719,49368.84766,49368.84766,2.77E+11,58706.84766,59367.96875,53569.76563
06-12-2021,49413.48047,51934.78125,46942.34766,50098.33594,50098.33594,2.08E+11,57291.90625,59113.40234,42874.61719
13-12-2021,50114.74219,50205,45598.44141,46707.01563,46707.01563,2.15E+11,49413.48047,51934.78125,46942.34766
20-12-2021,46707.0625,51814.02734,45579.80859,50809.51563,50809.51563,1.75E+11,50114.74219,50205,45598.44141
27-12-2021,50802.60938,51956.32813,45819.95313,47345.21875,47345.21875,2.04E+11,46707.0625,51814.02734,45579.80859
03-01-2022,47343.54297,47510.72656,40672.27734,41911.60156,41911.60156,2.76E+11,50802.60938,51956.32813,45819.95313
10-01-2022,41910.23047,44278.42188,39796.57031,43113.87891,43113.87891,1.99E+11,47343.54297,47510.72656,40672.27734
17-01-2022,43118.12109,43413.02344,34349.25,36276.80469,36276.80469,1.96E+11,41910.23047,44278.42188,39796.57031
24-01-2022,36275.73438,38825.41016,33184.05859,37917.60156,37917.60156,1.79E+11,43118.12109,43413.02344,34349.25
31-01-2022,37920.28125,42500.78516,36375.53906,42412.43359,42412.43359,1.44E+11,36275.73438,38825.41016,33184.05859
07-02-2022,42406.78125,45661.17188,41748.15625,42197.51563,42197.51563,1.77E+11,37920.28125,42500.78516,36375.53906
14-02-2022,42157.39844,44667.21875,38112.8125,38431.37891,38431.37891,1.45E+11,42406.78125,45661.17188,41748.15625
21-02-2022,38423.21094,40005.34766,34459.21875,37709.78516,37709.78516,1.90E+11,42157.39844,44667.21875,38112.8125
28-02-2022,37706,45077.57813,37518.21484,38419.98438,38419.98438,1.88E+11,38423.21094,40005.34766,34459.21875
07-03-2022,38429.30469,42465.67188,37260.20313,37849.66406,37849.66406,1.76E+11,37706,45077.57813,37518.21484
14-03-2022,37846.31641,42316.55469,37680.73438,41247.82422,41247.82422,1.84E+11,38429.30469,42465.67188,37260.20313
21-03-2022,41246.13281,46827.54688,40668.04297,46820.49219,46820.49219,1.89E+11,37846.31641,42316.55469,37680.73438
28-03-2022,46821.85156,48086.83594,44403.14063,46453.56641,46453.56641,2.23E+11,41246.13281,46827.54688,40668.04297
04-04-2022,46445.27344,47106.14063,42021.20703,42207.67188,42207.67188,1.89E+11,46821.85156,48086.83594,44403.14063
11-04-2022,42201.03906,42424.58984,39373.05859,39716.95313,39716.95313,1.75E+11,46445.27344,47106.14063,42021.20703
18-04-2022,39721.20313,42893.58203,38696.19141,39469.29297,39469.29297,1.84E+11,42201.03906,42424.58984,39373.05859
25-04-2022,39472.60547,40713.89063,37585.78906,38469.09375,38469.09375,2.17E+11,39721.20313,42893.58203,38696.19141
02-05-2022,38472.1875,39902.94922,33878.96484,34059.26563,34059.26563,2.39E+11,39472.60547,40713.89063,37585.78906
09-05-2022,34060.01563,34222.07422,26350.49023,31305.11328,31305.11328,3.58E+11,38472.1875,39902.94922,33878.96484
16-05-2022,31304.375,31305.3418,28708.95508,30323.72266,30323.72266,1.96E+11,34060.01563,34222.07422,26350.49023
23-05-2022,30309.39648,30590.58594,28261.90625,29445.95703,29445.95703,2.13E+11,31304.375,31305.3418,28708.95508
30-05-2022,29443.36523,32249.86328,29303.57227,29906.66211,29906.66211,2.03E+11,30309.39648,30590.58594,28261.90625
06-06-2022,29910.2832,31693.29102,26762.64844,26762.64844,26762.64844,2.16E+11,29443.36523,32249.86328,29303.57227
13-06-2022,26737.57813,26795.58984,17708.62305,20553.27148,20553.27148,3.10E+11,29910.2832,31693.29102,26762.64844
20-06-2022,20553.37109,21783.72461,19689.16992,21027.29492,21027.29492,1.76E+11,26737.57813,26795.58984,17708.62305
