Date,Open,High,Low,Close,Adj Close,Volume,Previous_week_open,Previous_week_high,Previous_week_low
12-07-2021,1876.881348,1988.336426,1855.59082,1895.552124,1895.552124,27156150804,,,
19-07-2021,1893.053589,2197.649414,1722.050781,2191.373779,2191.373779,1.17099E+11,1876.881348,1988.336426,1855.59082
26-07-2021,2191.309814,2695.429443,2154.731201,2561.852051,2561.852051,1.48899E+11,1893.053589,2197.649414,1722.050781
02-08-2021,2557.774658,3184.604004,2449.353516,3013.732666,3013.732666,1.89E+11,2191.309814,2695.429443,2154.731201
09-08-2021,3012.885742,3329.281006,2900.926025,3310.50415,3310.50415,1.77617E+11,2557.774658,3184.604004,2449.353516
16-08-2021,3309.422119,3333.994873,2959.02832,3242.115479,3242.115479,1.44658E+11,3012.885742,3329.281006,2900.926025
23-08-2021,3241.357422,3373.384277,3060.22876,3227.002686,3227.002686,1.22446E+11,3309.422119,3333.994873,2959.02832
30-08-2021,3227.192627,4022.469238,3151.44458,3952.133545,3952.133545,1.66432E+11,3241.357422,3373.384277,3060.22876
06-09-2021,3951.520752,3968.426514,3062.222412,3410.134521,3410.134521,1.71456E+11,3227.192627,4022.469238,3151.44458
13-09-2021,3407.471924,3673.310791,3121.51416,3329.447998,3329.447998,1.27465E+11,3951.520752,3968.426514,3062.222412
20-09-2021,3329.670654,3343.325439,2676.407471,3062.265381,3062.265381,1.65736E+11,3407.471924,3673.310791,3121.51416
27-09-2021,3065.837891,3484.605713,2786.988281,3418.358643,3418.358643,1.26511E+11,3329.670654,3343.325439,2676.407471
04-10-2021,3418.776367,3667.95752,3283.44873,3425.852783,3425.852783,1.20426E+11,3065.837891,3484.605713,2786.988281
11-10-2021,3419.726807,3962.453125,3385.761719,3847.104492,3847.104492,1.25797E+11,3418.776367,3667.95752,3283.44873
18-10-2021,3847.72998,4366.088379,3686.750488,4087.903076,4087.903076,1.31137E+11,3419.726807,3962.453125,3385.761719
25-10-2021,4084.425781,4455.735352,3905.706055,4288.074219,4288.074219,1.40412E+11,3847.72998,4366.088379,3686.750488
01-11-2021,4288.217285,4664.910156,4160.966797,4620.554688,4620.554688,1.21472E+11,4084.425781,4455.735352,3905.706055
08-11-2021,4619.649414,4859.50293,4485.093262,4626.358887,4626.358887,1.25753E+11,4288.217285,4664.910156,4160.966797
15-11-2021,4627.09082,4891.70459,3959.227783,4269.73291,4269.73291,1.37429E+11,4619.649414,4859.50293,4485.093262
22-11-2021,4266.509277,4550.842285,3933.506592,4294.453613,4294.453613,1.4118E+11,4627.09082,4891.70459,3959.227783
29-11-2021,4296.946777,4780.732422,3525.494141,4198.322754,4198.322754,1.86742E+11,4266.509277,4550.842285,3933.506592
06-12-2021,4199,4482.313965,3846.054443,4134.453125,4134.453125,1.528E+11,4296.946777,4780.732422,3525.494141
13-12-2021,4136.359863,4145.955078,3664.719971,3922.592529,3922.592529,1.52916E+11,4199,4482.313965,3846.054443
20-12-2021,3923.695801,4149.026855,3759.40332,4067.328125,4067.328125,1.04768E+11,4136.359863,4145.955078,3664.719971
27-12-2021,4064.746338,4126.001465,3595.204834,3829.564941,3829.564941,91186714758,3923.695801,4149.026855,3759.40332
03-01-2022,3829.535645,3876.785156,3020.880859,3157.751465,3157.751465,1.21333E+11,4064.746338,4126.001465,3595.204834
10-01-2022,3157.570557,3401.219971,2947.683594,3350.921875,3350.921875,99393420484,3829.535645,3876.785156,3020.880859
17-01-2022,3350.947266,3355.819336,2330.247314,2535.039063,2535.039063,1.19849E+11,3157.570557,3401.219971,2947.683594
24-01-2022,2535.891113,2705.78418,2172.30127,2603.466553,2603.466553,1.17097E+11,3350.947266,3355.819336,2330.247314
31-01-2022,2603.263428,3061.26123,2489.072266,3057.476074,3057.476074,95160222839,2535.891113,2705.78418,2172.30127
07-02-2022,3057.422119,3271.316162,2845.397705,2883.463379,2883.463379,1.01267E+11,2603.263428,3061.26123,2489.072266
14-02-2022,2880.187744,3185.520752,2585.946289,2628.648438,2628.648438,91462217528,3057.422119,3271.316162,2845.397705
21-02-2022,2627.665527,2849.424072,2308.914795,2621.801758,2621.801758,1.22786E+11,2880.187744,3185.520752,2585.946289
28-02-2022,2621.172119,3029.651611,2555.037354,2555.037354,2555.037354,99193551777,2627.665527,2849.424072,2308.914795
07-03-2022,2555.297607,2761.796387,2455.59375,2518.94458,2518.94458,83530580780,2621.172119,3029.651611,2555.037354
14-03-2022,2518.486328,2979.987061,2505.299316,2860.459229,2860.459229,94797948955,2555.297607,2761.796387,2455.59375
21-03-2022,2860.103271,3291.577637,2838.250488,3291.577637,3291.577637,1.05455E+11,2518.486328,2979.987061,2505.299316
28-03-2022,3292.32251,3573.960205,3223.891357,3522.833496,3522.833496,1.3303E+11,2860.103271,3291.577637,2838.250488
04-04-2022,3522.36499,3546.706787,3155.581055,3211.866943,3211.866943,1.15162E+11,3292.32251,3573.960205,3223.891357
11-04-2022,3209.576904,3214.461914,2957.872314,2993.40332,2993.40332,1.04524E+11,3522.36499,3546.706787,3155.581055
18-04-2022,2993.483887,3173.451416,2893.912842,2922.732666,2922.732666,1.04713E+11,3209.576904,3214.461914,2957.872314
25-04-2022,2922.990234,3026.415039,2727.40625,2827.756104,2827.756104,1.24872E+11,2993.483887,3173.451416,2893.912842
02-05-2022,2827.614014,2956.686768,2498.430176,2517.459961,2517.459961,1.27665E+11,2922.990234,3026.415039,2727.40625
09-05-2022,2518.508301,2528.258057,1748.303101,2145.706787,2145.706787,2.17862E+11,2827.614014,2956.686768,2498.430176
16-05-2022,2145.836914,2145.836914,1907.020508,2043.170166,2043.170166,1.11825E+11,2518.508301,2528.258057,1748.303101
23-05-2022,2042.344727,2080.333496,1721.264771,1812.031006,1812.031006,1.25643E+11,2145.836914,2145.836914,1907.020508
